acquirer_name,assignee_name,is_match,simple_ratio,partial_ratio,sort_ratio,set_ratio,simple*partial,simple*sort,simple*set,partial*sort,partial*set,sort*set,simple^2,partial^2,sort^2,set^2
johnson matthey,johnson matthey catalysts (germany) gmbh,1,0.55,1.0,0.57,1.0,0.55,0.3135,0.55,0.57,1.0,0.57,0.30250000000000005,1.0,0.32489999999999997,1.0
bayer cropscience,bayer cropscience ag,1,0.92,1.0,0.92,1.0,0.92,0.8464,0.92,0.92,1.0,0.92,0.8464,1.0,0.8464,1.0
bayer cropscience,bayer aktiengesellschaft,1,0.49,0.59,0.29,0.49,0.28909999999999997,0.14209999999999998,0.24009999999999998,0.17109999999999997,0.28909999999999997,0.14209999999999998,0.24009999999999998,0.34809999999999997,0.0841,0.24009999999999998
bayer cropscience,bayer intellectual property gmbh,1,0.45,0.53,0.45,0.45,0.23850000000000002,0.2025,0.2025,0.23850000000000002,0.23850000000000002,0.2025,0.2025,0.28090000000000004,0.2025,0.2025
ppg industries,ppg b.v.,1,0.36,0.5,0.38,0.6,0.18,0.1368,0.216,0.19,0.3,0.22799999999999998,0.1296,0.25,0.1444,0.36
exelixis,exelixis patent company llc,1,0.46,1.0,0.46,1.0,0.46,0.2116,0.46,0.46,1.0,0.46,0.2116,1.0,0.2116,1.0
exelixis,"exelixis, inc.",1,0.73,1.0,0.8,1.0,0.73,0.584,0.73,0.8,1.0,0.8,0.5328999999999999,1.0,0.6400000000000001,1.0
exelixis,"exelis, inc.",1,0.6,0.75,0.67,0.67,0.44999999999999996,0.402,0.402,0.5025000000000001,0.5025000000000001,0.4489000000000001,0.36,0.5625,0.4489000000000001,0.4489000000000001
exelixis,"exelixis plant sciences, inc.",1,0.43,1.0,0.46,1.0,0.43,0.1978,0.43,0.46,1.0,0.46,0.18489999999999998,1.0,0.2116,1.0
koninklijke philips,koninklijke philips electronics n.v.,1,0.69,1.0,0.7,1.0,0.69,0.48299999999999993,0.69,0.7,1.0,0.7,0.4760999999999999,1.0,0.48999999999999994,1.0
koninklijke philips,koninklijke philips n.v.,1,0.88,1.0,0.9,1.0,0.88,0.792,0.88,0.9,1.0,0.9,0.7744,1.0,0.81,1.0
koninklijke philips,koninklijke philip n.v.,1,0.86,0.95,0.88,0.88,0.817,0.7568,0.7568,0.836,0.836,0.7744,0.7395999999999999,0.9025,0.7744,0.7744
koninklijke philips,konklijke philips n.v.,1,0.83,0.89,0.85,0.85,0.7387,0.7054999999999999,0.7054999999999999,0.7565,0.7565,0.7224999999999999,0.6889,0.7921,0.7224999999999999,0.7224999999999999
chevron corporation,chevron research company,1,0.6,0.58,0.6,0.6,0.348,0.36,0.36,0.348,0.348,0.36,0.36,0.3364,0.36,0.36
chevron corporation,chevron u.s.a. inc.,1,0.58,0.58,0.56,0.61,0.3364,0.32480000000000003,0.35379999999999995,0.32480000000000003,0.35379999999999995,0.3416,0.3364,0.3364,0.31360000000000005,0.3721
chevron corporation,chevron chemical company ,1,0.59,0.58,0.6,0.6,0.34219999999999995,0.354,0.354,0.348,0.348,0.36,0.34809999999999997,0.3364,0.36,0.36
chevron corporation,"chevron oronite company, llc",1,0.6,0.68,0.65,0.65,0.40800000000000003,0.39,0.39,0.44200000000000006,0.44200000000000006,0.42250000000000004,0.36,0.4624000000000001,0.42250000000000004,0.42250000000000004
chevron corporation,chevron chemical co. llc,1,0.51,0.58,0.48,0.54,0.2958,0.2448,0.27540000000000003,0.2784,0.3132,0.2592,0.2601,0.3364,0.2304,0.2916
chevron corporation,chevron oronite s.a.,1,0.62,0.63,0.63,0.63,0.3906,0.3906,0.3906,0.39690000000000003,0.39690000000000003,0.39690000000000003,0.3844,0.39690000000000003,0.39690000000000003,0.39690000000000003
chevron corporation,chevron research and technology company,1,0.48,0.63,0.52,0.54,0.3024,0.2496,0.2592,0.3276,0.3402,0.28080000000000005,0.2304,0.39690000000000003,0.27040000000000003,0.2916
chevron corporation,chevron chemical s.a.,1,0.5,0.53,0.41,0.54,0.265,0.205,0.27,0.2173,0.2862,0.2214,0.25,0.28090000000000004,0.16809999999999997,0.2916
chevron corporation,chevron cronite company llc,1,0.61,0.68,0.61,0.61,0.4148,0.3721,0.3721,0.4148,0.4148,0.3721,0.3721,0.4624000000000001,0.3721,0.3721
chevron corporation,chevron phillips chemical company lp,1,0.47,0.53,0.47,0.54,0.2491,0.22089999999999999,0.2538,0.2491,0.2862,0.2538,0.22089999999999999,0.28090000000000004,0.22089999999999999,0.2916
chevron corporation,chevron research,1,0.57,0.62,0.57,0.61,0.3534,0.32489999999999997,0.34769999999999995,0.3534,0.3782,0.34769999999999995,0.32489999999999997,0.3844,0.32489999999999997,0.3721
honeywell international,"honeywell international, inc.",1,0.88,1.0,0.92,1.0,0.88,0.8096,0.88,0.92,1.0,0.92,0.7744,1.0,0.8464,1.0
honeywell international,honeywell inc.,1,0.65,0.86,0.67,0.82,0.559,0.43550000000000005,0.533,0.5762,0.7051999999999999,0.5494,0.42250000000000004,0.7395999999999999,0.4489000000000001,0.6723999999999999
honeywell international,"honeywell federal manufacturing & technologies, llc",1,0.49,0.61,0.48,0.56,0.2989,0.2352,0.27440000000000003,0.2928,0.3416,0.26880000000000004,0.24009999999999998,0.3721,0.2304,0.31360000000000005
honeywell international,honeywell industrial inc.,1,0.71,0.74,0.72,0.72,0.5254,0.5112,0.5112,0.5327999999999999,0.5327999999999999,0.5184,0.5041,0.5476,0.5184,0.5184
honeywell international,honeywell asca inc.,1,0.62,0.63,0.59,0.67,0.3906,0.36579999999999996,0.41540000000000005,0.3717,0.42210000000000003,0.3953,0.3844,0.39690000000000003,0.34809999999999997,0.4489000000000001
honeywell international,honeywell power systems inc.,1,0.59,0.57,0.6,0.6,0.33629999999999993,0.354,0.354,0.34199999999999997,0.34199999999999997,0.36,0.34809999999999997,0.32489999999999997,0.36,0.36
honeywell international,honeywell international business machines,1,0.72,1.0,0.72,1.0,0.72,0.5184,0.72,0.72,1.0,0.72,0.5184,1.0,0.5184,1.0
honeywell international,honeywell scanning & mobility,1,0.58,0.61,0.6,0.6,0.35379999999999995,0.348,0.348,0.366,0.366,0.36,0.3364,0.3721,0.36,0.36
honeywell international,honeywell bremsbelag gmbh,1,0.5,0.52,0.38,0.56,0.26,0.19,0.28,0.1976,0.2912,0.21280000000000002,0.25,0.27040000000000003,0.1444,0.31360000000000005
honeywell international,honeywell b.v.,1,0.54,0.71,0.56,0.82,0.3834,0.30240000000000006,0.4428,0.3976,0.5821999999999999,0.4592,0.2916,0.5041,0.31360000000000005,0.6723999999999999
honeywell international,honeywell limited,1,0.65,0.76,0.65,0.69,0.49400000000000005,0.42250000000000004,0.44849999999999995,0.49400000000000005,0.5244,0.44849999999999995,0.42250000000000004,0.5776,0.42250000000000004,0.4760999999999999
tennant co,tennant n.v.,1,0.73,0.8,0.76,0.82,0.584,0.5548,0.5985999999999999,0.6080000000000001,0.656,0.6232,0.5328999999999999,0.6400000000000001,0.5776,0.6723999999999999
lund international,"lund, inc.",1,0.5,0.7,0.54,0.67,0.35,0.27,0.335,0.378,0.469,0.36180000000000007,0.25,0.48999999999999994,0.2916,0.4489000000000001
lund international,"lund motion products, inc.",1,0.5,0.5,0.43,0.52,0.25,0.215,0.26,0.215,0.26,0.2236,0.25,0.25,0.18489999999999998,0.27040000000000003
amazon,"amazon technologies, inc.",1,0.39,1.0,0.41,1.0,0.39,0.1599,0.39,0.41,1.0,0.41,0.1521,1.0,0.16809999999999997,1.0
align technology,"align technology, inc.",1,0.84,1.0,0.89,1.0,0.84,0.7475999999999999,0.84,0.89,1.0,0.89,0.7055999999999999,1.0,0.7921,1.0
ge aviation,ge aviation systems llc,1,0.65,1.0,0.65,1.0,0.65,0.42250000000000004,0.65,0.65,1.0,0.65,0.42250000000000004,1.0,0.42250000000000004,1.0
ge aviation,ge aviation systems limited,1,0.58,1.0,0.58,1.0,0.58,0.3364,0.58,0.58,1.0,0.58,0.3364,1.0,0.3364,1.0
crown holdings,crown cork & seal technologies corporation,1,0.39,0.57,0.41,0.53,0.2223,0.1599,0.20670000000000002,0.23369999999999996,0.3021,0.2173,0.1521,0.32489999999999997,0.16809999999999997,0.28090000000000004
air products and chemicals,"air products and chemicals, inc.",1,0.9,1.0,0.93,1.0,0.9,0.8370000000000001,0.9,0.93,1.0,0.93,0.81,1.0,0.8649000000000001,1.0
rakuten,"rakuten, inc.",1,0.7,1.0,0.78,1.0,0.7,0.5459999999999999,0.7,0.78,1.0,0.78,0.48999999999999994,1.0,0.6084,1.0
rakuten,"rakuten kobo, inc.",1,0.56,1.0,0.61,1.0,0.56,0.3416,0.56,0.61,1.0,0.61,0.31360000000000005,1.0,0.3721,1.0
siemens energy & automation,"siemens industry, inc.",1,0.57,0.55,0.62,0.62,0.3135,0.3534,0.3534,0.341,0.341,0.3844,0.32489999999999997,0.30250000000000005,0.3844,0.3844
siemens energy & automation,"siemens energy & automation, inc.",1,0.9,1.0,0.93,1.0,0.9,0.8370000000000001,0.9,0.93,1.0,0.93,0.81,1.0,0.8649000000000001,1.0
siemens energy & automation,siemens energy & automation,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
irobot,irobot corporation,1,0.5,1.0,0.5,1.0,0.5,0.25,0.5,0.5,1.0,0.5,0.25,1.0,0.25,1.0
huawei technologies,"huawei technologies co., ltd.",1,0.79,1.0,0.84,1.0,0.79,0.6636,0.79,0.84,1.0,0.84,0.6241000000000001,1.0,0.7055999999999999,1.0
pandrol,pandrol limited ,1,0.61,1.0,0.64,1.0,0.61,0.3904,0.61,0.64,1.0,0.64,0.3721,1.0,0.4096,1.0
inphonic,"inphonic, inc.",1,0.73,1.0,0.8,1.0,0.73,0.584,0.73,0.8,1.0,0.8,0.5328999999999999,1.0,0.6400000000000001,1.0
red bend software,red bend software sas,1,0.89,1.0,0.89,1.0,0.89,0.7921,0.89,0.89,1.0,0.89,0.7921,1.0,0.7921,1.0
qlogic,qlogic corporation,1,0.5,1.0,0.5,1.0,0.5,0.25,0.5,0.5,1.0,0.5,0.25,1.0,0.25,1.0
qlogic,"qlogic switch products, inc.",1,0.35,1.0,0.38,1.0,0.35,0.13299999999999998,0.35,0.38,1.0,0.38,0.12249999999999998,1.0,0.1444,1.0
first solar,"first solar, inc.",1,0.79,1.0,0.85,1.0,0.79,0.6715,0.79,0.85,1.0,0.85,0.6241000000000001,1.0,0.7224999999999999,1.0
hitachi,hitachi data systems corporation,1,0.36,1.0,0.36,1.0,0.36,0.1296,0.36,0.36,1.0,0.36,0.1296,1.0,0.1296,1.0
hitachi,hitachi vantara corporation,1,0.41,1.0,0.41,1.0,0.41,0.16809999999999997,0.41,0.41,1.0,0.41,0.16809999999999997,1.0,0.16809999999999997,1.0
feradyne outdoors,"feradyne outdoors, llc",1,0.87,1.0,0.89,1.0,0.87,0.7743,0.87,0.89,1.0,0.89,0.7569,1.0,0.7921,1.0
aol,aol inc.,1,0.55,1.0,0.6,1.0,0.55,0.33,0.55,0.6,1.0,0.6,0.30250000000000005,1.0,0.36,1.0
aol,aol llc,1,0.6,1.0,0.6,1.0,0.6,0.36,0.6,0.6,1.0,0.6,0.36,1.0,0.36,1.0
aol,"aol llc, a delaware limited liability company",1,0.12,1.0,0.13,1.0,0.12,0.0156,0.12,0.13,1.0,0.13,0.0144,1.0,0.016900000000000002,1.0
sherwin-williams,sherwin-williams company,1,0.8,1.0,0.8,1.0,0.8,0.6400000000000001,0.8,0.8,1.0,0.8,0.6400000000000001,1.0,0.6400000000000001,1.0
grifols,"grifols, s.a.",1,0.7,1.0,0.78,1.0,0.7,0.5459999999999999,0.7,0.78,1.0,0.78,0.48999999999999994,1.0,0.6084,1.0
grifols,"grifols therapeutics, inc.",1,0.42,1.0,0.45,1.0,0.42,0.189,0.42,0.45,1.0,0.45,0.17639999999999997,1.0,0.2025,1.0
stryker,stryker corporation,1,0.54,1.0,0.54,1.0,0.54,0.2916,0.54,0.54,1.0,0.54,0.2916,1.0,0.2916,1.0
stryker,stryker leibinger gmbh & co kg,1,0.38,1.0,0.4,1.0,0.38,0.15200000000000002,0.38,0.4,1.0,0.4,0.1444,1.0,0.16000000000000003,1.0
stryker,stryker trauma ag,1,0.58,1.0,0.58,1.0,0.58,0.3364,0.58,0.58,1.0,0.58,0.3364,1.0,0.3364,1.0
stryker,"stryker european holdings i, llc",1,0.36,1.0,0.37,1.0,0.36,0.13319999999999999,0.36,0.37,1.0,0.37,0.1296,1.0,0.1369,1.0
stryker,stryker technologies corporation,1,0.36,1.0,0.36,1.0,0.36,0.1296,0.36,0.36,1.0,0.36,0.1296,1.0,0.1296,1.0
stryker,stryker trauma sa,1,0.58,1.0,0.58,1.0,0.58,0.3364,0.58,0.58,1.0,0.58,0.3364,1.0,0.3364,1.0
stryker,stryker instruments,1,0.54,1.0,0.54,1.0,0.54,0.2916,0.54,0.54,1.0,0.54,0.2916,1.0,0.2916,1.0
stryker,stryker howmedica osteonics corp.,1,0.35,1.0,0.36,1.0,0.35,0.126,0.35,0.36,1.0,0.36,0.12249999999999998,1.0,0.1296,1.0
nielsen company,"nielsen company (us), llc",1,0.75,1.0,0.81,1.0,0.75,0.6075,0.75,0.81,1.0,0.81,0.5625,1.0,0.6561000000000001,1.0
3m,3m innovative properties company,1,0.12,1.0,0.12,1.0,0.12,0.0144,0.12,0.12,1.0,0.12,0.0144,1.0,0.0144,1.0
hewlett packard enterprise,hewlett packard enterprise development lp,1,0.78,1.0,0.78,1.0,0.78,0.6084,0.78,0.78,1.0,0.78,0.6084,1.0,0.6084,1.0
fresenius medical care,"fresenius medical care holdings, inc.",1,0.75,1.0,0.77,1.0,0.75,0.5775,0.75,0.77,1.0,0.77,0.5625,1.0,0.5929,1.0
mohawk industries,mohawk carpet corporation,1,0.48,0.53,0.48,0.52,0.2544,0.2304,0.2496,0.2544,0.2756,0.2496,0.2304,0.28090000000000004,0.2304,0.27040000000000003
northern frontier corp,northern telecom limited ,1,0.55,0.59,0.48,0.53,0.3245,0.264,0.29150000000000004,0.28319999999999995,0.3127,0.2544,0.30250000000000005,0.34809999999999997,0.2304,0.28090000000000004
pentair,pentair flow services ag,1,0.45,1.0,0.45,1.0,0.45,0.2025,0.45,0.45,1.0,0.45,0.2025,1.0,0.2025,1.0
medimmune,medimmune limited,1,0.69,1.0,0.69,1.0,0.69,0.4760999999999999,0.69,0.69,1.0,0.69,0.4760999999999999,1.0,0.4760999999999999,1.0
medimmune,"medimmune, inc.",1,0.75,1.0,0.82,1.0,0.75,0.615,0.75,0.82,1.0,0.82,0.5625,1.0,0.6723999999999999,1.0
medimmune,"medimmune, llc",1,0.78,1.0,0.82,1.0,0.78,0.6396,0.78,0.82,1.0,0.82,0.6084,1.0,0.6723999999999999,1.0
probiodrug,probiodrug ag,1,0.87,1.0,0.87,1.0,0.87,0.7569,0.87,0.87,1.0,0.87,0.7569,1.0,0.7569,1.0
dolby laboratories,dolby laboratories licensing corporation,1,0.62,1.0,0.62,1.0,0.62,0.3844,0.62,0.62,1.0,0.62,0.3844,1.0,0.3844,1.0
dolby laboratories,dolby international ab,1,0.5,0.56,0.5,0.6,0.28,0.25,0.3,0.28,0.336,0.3,0.25,0.31360000000000005,0.25,0.36
dolby laboratories,dolby sweden ab,1,0.48,0.53,0.42,0.55,0.2544,0.20159999999999997,0.264,0.2226,0.29150000000000004,0.231,0.2304,0.28090000000000004,0.17639999999999997,0.30250000000000005
dolby laboratories,dolby laboraties licensing corporation,1,0.57,0.89,0.57,0.57,0.5073,0.32489999999999997,0.32489999999999997,0.5073,0.5073,0.32489999999999997,0.32489999999999997,0.7921,0.32489999999999997,0.32489999999999997
gilat satellite networks,"gilat satellite networks, ltd.",1,0.89,1.0,0.92,1.0,0.89,0.8188000000000001,0.89,0.92,1.0,0.92,0.7921,1.0,0.8464,1.0
"conagra brands, inc.","conagra foods, inc.",1,0.82,0.79,0.63,0.8,0.6478,0.5166,0.656,0.49770000000000003,0.6320000000000001,0.504,0.6723999999999999,0.6241000000000001,0.39690000000000003,0.6400000000000001
masco corporation,masco bath corporation,1,0.87,0.76,0.87,1.0,0.6612,0.7569,0.87,0.6612,0.76,0.87,0.7569,0.5776,0.7569,1.0
credence systems corp,credence systems corporation,1,0.86,1.0,0.86,0.86,0.86,0.7395999999999999,0.7395999999999999,0.86,0.86,0.7395999999999999,0.7395999999999999,1.0,0.7395999999999999,0.7395999999999999
credence systems corp,credence systems solutions,1,0.77,0.86,0.68,0.86,0.6622,0.5236000000000001,0.6622,0.5848,0.7395999999999999,0.5848,0.5929,0.7395999999999999,0.4624000000000001,0.7395999999999999
adept technology,adept mobilerobots llc,1,0.47,0.56,0.53,0.53,0.2632,0.2491,0.2491,0.29680000000000006,0.29680000000000006,0.28090000000000004,0.22089999999999999,0.31360000000000005,0.28090000000000004,0.28090000000000004
adept technology,"adept technology, inc.",1,0.84,1.0,0.89,1.0,0.84,0.7475999999999999,0.84,0.89,1.0,0.89,0.7055999999999999,1.0,0.7921,1.0
sosei group,sosei r&d ltd.,1,0.56,0.64,0.58,0.62,0.35840000000000005,0.32480000000000003,0.3472,0.3712,0.3968,0.3596,0.31360000000000005,0.4096,0.3364,0.3844
dsm,dsm ip assets b.v.,1,0.29,1.0,0.3,1.0,0.29,0.087,0.29,0.3,1.0,0.3,0.0841,1.0,0.09,1.0
dsm,dsm biomedical inc.,1,0.27,1.0,0.29,1.0,0.27,0.0783,0.27,0.29,1.0,0.29,0.0729,1.0,0.0841,1.0
diodes incorporated,diodes zetex semiconductors limited,1,0.56,0.53,0.52,0.52,0.29680000000000006,0.2912,0.2912,0.2756,0.2756,0.27040000000000003,0.31360000000000005,0.28090000000000004,0.27040000000000003,0.27040000000000003
stanley black & decker,"stanley black & decker, inc.",1,0.88,1.0,0.91,1.0,0.88,0.8008000000000001,0.88,0.91,1.0,0.91,0.7744,1.0,0.8281000000000001,1.0
stanley black & decker,"stanley fastening systems, l.p.",1,0.42,0.45,0.41,0.52,0.189,0.1722,0.2184,0.1845,0.234,0.2132,0.17639999999999997,0.2025,0.16809999999999997,0.27040000000000003
stanley black & decker,stanley works,1,0.51,0.69,0.42,0.7,0.3519,0.2142,0.357,0.28979999999999995,0.48299999999999993,0.294,0.2601,0.4760999999999999,0.17639999999999997,0.48999999999999994
stanley black & decker,stanley tools and hardware,1,0.54,0.55,0.52,0.52,0.29700000000000004,0.28080000000000005,0.28080000000000005,0.28600000000000003,0.28600000000000003,0.27040000000000003,0.2916,0.30250000000000005,0.27040000000000003,0.27040000000000003
stanley black & decker,"stanley convergent security solutions, inc.",1,0.4,0.55,0.43,0.52,0.22000000000000003,0.17200000000000001,0.20800000000000002,0.23650000000000002,0.28600000000000003,0.2236,0.16000000000000003,0.30250000000000005,0.18489999999999998,0.27040000000000003
stanley black & decker,stanley works limited,1,0.51,0.52,0.49,0.54,0.2652,0.2499,0.27540000000000003,0.2548,0.28080000000000005,0.2646,0.2601,0.27040000000000003,0.24009999999999998,0.2916
stanley black & decker,stanley works (europe) gmbh,1,0.49,0.55,0.44,0.52,0.2695,0.21559999999999999,0.2548,0.24200000000000002,0.28600000000000003,0.2288,0.24009999999999998,0.30250000000000005,0.1936,0.27040000000000003
sirf technology,"sirf technology holdings, inc.",1,0.67,1.0,0.7,1.0,0.67,0.469,0.67,0.7,1.0,0.7,0.4489000000000001,1.0,0.48999999999999994,1.0
sirf technology,"sirf technology, inc.",1,0.83,1.0,0.88,1.0,0.83,0.7303999999999999,0.83,0.88,1.0,0.88,0.6889,1.0,0.7744,1.0
mentor graphics,mentor graphics corporation,1,0.71,1.0,0.71,1.0,0.71,0.5041,0.71,0.71,1.0,0.71,0.5041,1.0,0.5041,1.0
ashland inc,ashland licensing and intellectual property llc,1,0.38,0.91,0.38,0.78,0.3458,0.1444,0.2964,0.3458,0.7098000000000001,0.2964,0.1444,0.8281000000000001,0.1444,0.6084
cts corporation,cts,1,0.33,1.0,0.33,1.0,0.33,0.10890000000000001,0.33,0.33,1.0,0.33,0.10890000000000001,1.0,0.10890000000000001,1.0
trustwave holdings,"trustwave holdings, inc.",1,0.86,1.0,0.9,1.0,0.86,0.774,0.86,0.9,1.0,0.9,0.7395999999999999,1.0,0.81,1.0
compass minerals,compass minerals manitoba inc.,1,0.7,1.0,0.71,1.0,0.7,0.49699999999999994,0.7,0.71,1.0,0.71,0.48999999999999994,1.0,0.5041,1.0
integrated silicon solution,"integrated silicon solution (shanghai), inc.",1,0.76,1.0,0.81,1.0,0.76,0.6156,0.76,0.81,1.0,0.81,0.5776,1.0,0.6561000000000001,1.0
integrated silicon solution,"integrated device technology, inc.",1,0.59,0.63,0.54,0.61,0.3717,0.3186,0.3599,0.3402,0.3843,0.3294,0.34809999999999997,0.39690000000000003,0.2916,0.3721
juniper networks,"juniper networks, inc.",1,0.84,1.0,0.89,1.0,0.84,0.7475999999999999,0.84,0.89,1.0,0.89,0.7055999999999999,1.0,0.7921,1.0
wabtec corporation,wabtec holding corp.,1,0.58,0.56,0.76,0.76,0.32480000000000003,0.44079999999999997,0.44079999999999997,0.42560000000000003,0.42560000000000003,0.5776,0.3364,0.31360000000000005,0.5776,0.5776
wabtec corporation,wabtec corporation,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wabtec corporation,wabtec corp,1,0.76,1.0,0.76,0.76,0.76,0.5776,0.5776,0.76,0.76,0.5776,0.5776,1.0,0.5776,0.5776
ecolab,ecolab inc.,1,0.71,1.0,0.75,1.0,0.71,0.5325,0.71,0.75,1.0,0.75,0.5041,1.0,0.5625,1.0
ecolab,ecolab,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oclaro,"oclaro (new jersey), inc.",1,0.39,1.0,0.44,1.0,0.39,0.1716,0.39,0.44,1.0,0.44,0.1521,1.0,0.1936,1.0
central garden & pet,central garden & pet company,1,0.83,1.0,0.82,1.0,0.83,0.6805999999999999,0.83,0.82,1.0,0.82,0.6889,1.0,0.6723999999999999,1.0
au optronics,au optronics corp.,1,0.8,1.0,0.83,1.0,0.8,0.664,0.8,0.83,1.0,0.83,0.6400000000000001,1.0,0.6889,1.0
au optronics,au optronics,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
moog,moog inc.,1,0.62,1.0,0.67,1.0,0.62,0.41540000000000005,0.62,0.67,1.0,0.67,0.3844,1.0,0.4489000000000001,1.0
adobe systems,adobe systems incorporated,1,0.67,1.0,0.67,1.0,0.67,0.4489000000000001,0.67,0.67,1.0,0.67,0.4489000000000001,1.0,0.4489000000000001,1.0
adobe systems,adobe systems israel ltd.,1,0.68,1.0,0.7,1.0,0.68,0.476,0.68,0.7,1.0,0.7,0.4624000000000001,1.0,0.48999999999999994,1.0
azbil corp,"azbil biovigilant, inc.",1,0.42,0.7,0.45,0.67,0.294,0.189,0.2814,0.315,0.469,0.30150000000000005,0.17639999999999997,0.48999999999999994,0.2025,0.4489000000000001
emerson,emerson retail services inc.,1,0.4,1.0,0.41,1.0,0.4,0.164,0.4,0.41,1.0,0.41,0.16000000000000003,1.0,0.16809999999999997,1.0
emerson,"emerson climate technologies retail solutions, inc.",1,0.24,1.0,0.25,1.0,0.24,0.06,0.24,0.25,1.0,0.25,0.0576,1.0,0.0625,1.0
emerson,emerson electric co.,1,0.52,1.0,0.54,1.0,0.52,0.28080000000000005,0.52,0.54,1.0,0.54,0.27040000000000003,1.0,0.2916,1.0
emerson,"emerson climate technologies, inc.",1,0.34,1.0,0.36,1.0,0.34,0.12240000000000001,0.34,0.36,1.0,0.36,0.11560000000000002,1.0,0.1296,1.0
emerson,"emerson network power co., ltd.",1,0.37,1.0,0.4,1.0,0.37,0.148,0.37,0.4,1.0,0.4,0.1369,1.0,0.16000000000000003,1.0
emerson,"emerson climate technologies (suzhou) co., ltd.",1,0.26,1.0,0.29,1.0,0.26,0.0754,0.26,0.29,1.0,0.29,0.06760000000000001,1.0,0.0841,1.0
emerson,"emerson process management power & water solutions, inc.",1,0.22,1.0,0.24,1.0,0.22,0.0528,0.22,0.24,1.0,0.24,0.0484,1.0,0.0576,1.0
emerson,emerson electric (us) holding corporation (chile) limitada,1,0.22,1.0,0.23,1.0,0.22,0.0506,0.22,0.23,1.0,0.23,0.0484,1.0,0.0529,1.0
emergent biosolutions,emergent product development uk limited,1,0.47,0.57,0.4,0.55,0.26789999999999997,0.188,0.2585,0.22799999999999998,0.3135,0.22000000000000003,0.22089999999999999,0.32489999999999997,0.16000000000000003,0.30250000000000005
itxc corporation,itxc ip holdings s.a.r.l.,1,0.44,0.56,0.4,0.4,0.24640000000000004,0.17600000000000002,0.17600000000000002,0.22400000000000003,0.22400000000000003,0.16000000000000003,0.1936,0.31360000000000005,0.16000000000000003,0.16000000000000003
itxc corporation,"itxc, inc.",1,0.54,0.6,0.58,0.67,0.324,0.3132,0.36180000000000007,0.348,0.402,0.3886,0.2916,0.36,0.3364,0.4489000000000001
saint-gobain,saint-gobain vitrage international,1,0.52,1.0,0.52,1.0,0.52,0.27040000000000003,0.52,0.52,1.0,0.52,0.27040000000000003,1.0,0.27040000000000003,1.0
